lr = 0.01	alpha = 0	embedding_size = 16	reg = [1e-7,1e-7]
Epoch 59 [14.1s + 31.5s]: HR = 0.7645, NDCG = 0.4827, loss = 0.1713 [12.4s] train_loss = 0.2612 [5.0s]
Epoch 60 [14.1s + 30.4s]: HR = 0.7651, NDCG = 0.4830, loss = 0.1705 [11.0s] train_loss = 0.2607 [4.3s]
Epoch 61 [14.1s + 32.4s]: HR = 0.7655, NDCG = 0.4831, loss = 0.1715 [21.6s] train_loss = 0.2603 [8.0s]
Epoch 62 [14.1s + 37.3s]: HR = 0.7664, NDCG = 0.4835, loss = 0.1712 [14.6s] train_loss = 0.2598 [5.5s]
Epoch 63 [14.1s + 33.8s]: HR = 0.7674, NDCG = 0.4842, loss = 0.1720 [18.2s] train_loss = 0.2594 [6.4s]
Epoch 64 [14.1s + 40.4s]: HR = 0.7678, NDCG = 0.4846, loss = 0.1708 [18.0s] train_loss = 0.2589 [7.4s]
Epoch 65 [14.1s + 42.8s]: HR = 0.7683, NDCG = 0.4850, loss = 0.1706 [18.7s] train_loss = 0.2585 [7.8s]
Epoch 66 [14.1s + 47.5s]: HR = 0.7684, NDCG = 0.4853, loss = 0.1708 [29.7s] train_loss = 0.2581 [9.2s]
Epoch 67 [14.1s + 32.6s]: HR = 0.7687, NDCG = 0.4853, loss = 0.1701 [17.8s] train_loss = 0.2577 [5.5s]
Epoch 68 [14.1s + 37.6s]: HR = 0.7691, NDCG = 0.4857, loss = 0.1699 [22.4s] train_loss = 0.2573 [6.0s]
Epoch 69 [14.1s + 61.9s]: HR = 0.7691, NDCG = 0.4861, loss = 0.1708 [21.0s] train_loss = 0.2569 [9.4s]
Epoch 70 [14.1s + 35.4s]: HR = 0.7699, NDCG = 0.4867, loss = 0.1702 [19.4s] train_loss = 0.2565 [7.2s]
Epoch 71 [14.1s + 45.2s]: HR = 0.7708, NDCG = 0.4871, loss = 0.1698 [21.3s] train_loss = 0.2561 [6.3s]
Epoch 72 [14.1s + 44.9s]: HR = 0.7703, NDCG = 0.4874, loss = 0.1702 [22.9s] train_loss = 0.2557 [8.7s]
Epoch 73 [14.1s + 43.5s]: HR = 0.7715, NDCG = 0.4880, loss = 0.1686 [18.6s] train_loss = 0.2554 [6.9s]
Epoch 74 [14.1s + 43.8s]: HR = 0.7719, NDCG = 0.4884, loss = 0.1699 [19.7s] train_loss = 0.2550 [7.3s]
Epoch 75 [14.1s + 39.5s]: HR = 0.7730, NDCG = 0.4888, loss = 0.1692 [18.6s] train_loss = 0.2546 [6.5s]
Epoch 76 [14.1s + 41.9s]: HR = 0.7731, NDCG = 0.4890, loss = 0.1689 [20.0s] train_loss = 0.2543 [7.9s]
Epoch 77 [14.1s + 34.2s]: HR = 0.7737, NDCG = 0.4893, loss = 0.1686 [11.1s] train_loss = 0.2540 [4.4s]
Epoch 78 [14.1s + 27.2s]: HR = 0.7742, NDCG = 0.4896, loss = 0.1696 [11.1s] train_loss = 0.2536 [4.3s]
Epoch 79 [14.1s + 27.3s]: HR = 0.7745, NDCG = 0.4900, loss = 0.1680 [11.1s] train_loss = 0.2533 [4.3s]
Epoch 80 [14.1s + 28.3s]: HR = 0.7747, NDCG = 0.4901, loss = 0.1681 [11.1s] train_loss = 0.2529 [4.3s]
Epoch 81 [14.1s + 26.6s]: HR = 0.7750, NDCG = 0.4905, loss = 0.1677 [13.3s] train_loss = 0.2526 [5.6s]
Epoch 82 [14.1s + 28.9s]: HR = 0.7745, NDCG = 0.4904, loss = 0.1684 [10.7s] train_loss = 0.2523 [4.2s]
Epoch 83 [14.1s + 27.5s]: HR = 0.7743, NDCG = 0.4906, loss = 0.1675 [11.1s] train_loss = 0.2520 [4.2s]
Epoch 84 [14.1s + 28.0s]: HR = 0.7754, NDCG = 0.4909, loss = 0.1690 [12.0s] train_loss = 0.2517 [4.6s]
Epoch 85 [14.1s + 38.2s]: HR = 0.7758, NDCG = 0.4912, loss = 0.1679 [19.8s] train_loss = 0.2514 [7.1s]
