lr = 0.01	alpha = 0	embedding_size = 16	reg = [1e-7,1e-7]
Epoch 66 [13.7s + 26.3s]: HR = 0.7676, NDCG = 0.4857, loss =0.1698 [10.5190s] train_loss =0.2592 [4.2s]
Epoch 67 [13.7s + 26.4s]: HR = 0.7679, NDCG = 0.4862, loss =0.1687 [10.6689s] train_loss =0.2588 [4.2s]
Epoch 68 [13.7s + 26.4s]: HR = 0.7683, NDCG = 0.4866, loss =0.1700 [10.6469s] train_loss =0.2584 [4.1s]
Epoch 69 [13.7s + 26.6s]: HR = 0.7679, NDCG = 0.4872, loss =0.1690 [10.5360s] train_loss =0.2580 [4.2s]
Epoch 70 [13.7s + 26.5s]: HR = 0.7682, NDCG = 0.4874, loss =0.1696 [10.7419s] train_loss =0.2576 [4.2s]
Epoch 71 [13.7s + 26.6s]: HR = 0.7686, NDCG = 0.4878, loss =0.1700 [10.6859s] train_loss =0.2572 [4.1s]
Epoch 72 [13.7s + 26.6s]: HR = 0.7691, NDCG = 0.4882, loss =0.1698 [10.6649s] train_loss =0.2569 [4.2s]
Epoch 73 [13.7s + 26.8s]: HR = 0.7700, NDCG = 0.4888, loss =0.1672 [10.8258s] train_loss =0.2565 [4.1s]
Epoch 74 [13.7s + 26.6s]: HR = 0.7697, NDCG = 0.4889, loss =0.1691 [10.6499s] train_loss =0.2561 [4.2s]
Epoch 75 [13.7s + 26.7s]: HR = 0.7707, NDCG = 0.4893, loss =0.1678 [10.8608s] train_loss =0.2557 [4.3s]
Epoch 76 [13.7s + 26.7s]: HR = 0.7717, NDCG = 0.4898, loss =0.1686 [10.8488s] train_loss =0.2554 [4.1s]
Epoch 77 [13.7s + 26.8s]: HR = 0.7716, NDCG = 0.4902, loss =0.1677 [10.6919s] train_loss =0.2550 [4.3s]
Epoch 78 [13.7s + 26.9s]: HR = 0.7729, NDCG = 0.4908, loss =0.1681 [10.5310s] train_loss =0.2546 [4.2s]
Epoch 79 [13.7s + 25.7s]: HR = 0.7721, NDCG = 0.4908, loss =0.1675 [10.3551s] train_loss =0.2543 [4.0s]
Epoch 80 [13.7s + 25.7s]: HR = 0.7724, NDCG = 0.4912, loss =0.1669 [10.3211s] train_loss =0.2539 [4.1s]
Epoch 81 [13.7s + 25.8s]: HR = 0.7736, NDCG = 0.4919, loss =0.1674 [10.3401s] train_loss =0.2536 [4.1s]
Epoch 82 [13.7s + 25.9s]: HR = 0.7742, NDCG = 0.4924, loss =0.1683 [10.4300s] train_loss =0.2533 [4.1s]
Epoch 83 [13.7s + 25.9s]: HR = 0.7744, NDCG = 0.4926, loss =0.1675 [10.3841s] train_loss =0.2529 [4.1s]
Epoch 84 [13.7s + 26.0s]: HR = 0.7743, NDCG = 0.4929, loss =0.1674 [10.3391s] train_loss =0.2526 [4.1s]
Epoch 85 [13.7s + 26.1s]: HR = 0.7751, NDCG = 0.4934, loss =0.1672 [10.4550s] train_loss =0.2522 [4.0s]
Epoch 86 [13.7s + 26.1s]: HR = 0.7756, NDCG = 0.4937, loss =0.1672 [10.3931s] train_loss =0.2519 [4.1s]
Epoch 87 [13.7s + 26.0s]: HR = 0.7750, NDCG = 0.4937, loss =0.1664 [10.5200s] train_loss =0.2516 [4.1s]
Epoch 88 [13.7s + 26.1s]: HR = 0.7755, NDCG = 0.4939, loss =0.1672 [10.4950s] train_loss =0.2513 [4.0s]
Epoch 89 [13.7s + 26.0s]: HR = 0.7756, NDCG = 0.4943, loss =0.1659 [10.4230s] train_loss =0.2510 [4.1s]
Epoch 90 [13.7s + 26.2s]: HR = 0.7760, NDCG = 0.4944, loss =0.1651 [10.5610s] train_loss =0.2507 [4.1s]
Epoch 91 [13.7s + 26.2s]: HR = 0.7759, NDCG = 0.4943, loss =0.1660 [10.5450s] train_loss =0.2503 [4.0s]
Epoch 92 [13.7s + 26.4s]: HR = 0.7766, NDCG = 0.4949, loss =0.1670 [10.5180s] train_loss =0.2500 [4.2s]
Epoch 93 [13.7s + 26.4s]: HR = 0.7767, NDCG = 0.4949, loss =0.1661 [10.7608s] train_loss =0.2497 [4.0s]
Epoch 94 [13.7s + 26.4s]: HR = 0.7769, NDCG = 0.4954, loss =0.1658 [10.5060s] train_loss =0.2494 [4.1s]
Epoch 95 [13.7s + 26.4s]: HR = 0.7778, NDCG = 0.4958, loss =0.1661 [10.7339s] train_loss =0.2491 [4.2s]
Epoch 96 [13.7s + 26.5s]: HR = 0.7779, NDCG = 0.4960, loss =0.1646 [10.6909s] train_loss =0.2488 [4.0s]
Epoch 97 [13.7s + 26.4s]: HR = 0.7785, NDCG = 0.4963, loss =0.1645 [10.5720s] train_loss =0.2486 [4.2s]
Epoch 98 [13.7s + 26.5s]: HR = 0.7782, NDCG = 0.4963, loss =0.1658 [10.7139s] train_loss =0.2482 [4.2s]
Epoch 99 [13.7s + 26.5s]: HR = 0.7784, NDCG = 0.4968, loss =0.1658 [10.6029s] train_loss =0.2480 [4.2s]
best HR = 0.7785, best NDCG = 0.4963


