lr = 0.01	alpha = 0	embedding_size = 16	reg = [1e-7,1e-7]
Epoch 58 [18.1s + 28.7s]: HR = 0.7673, NDCG = 0.4838, loss =0.1717 [11.7603s] train_loss =0.2608 [4.7s]
Epoch 59 [18.1s + 29.5s]: HR = 0.7674, NDCG = 0.4842, loss =0.1708 [11.8061s] train_loss =0.2604 [4.7s]
Epoch 60 [18.1s + 29.0s]: HR = 0.7677, NDCG = 0.4846, loss =0.1727 [11.9921s] train_loss =0.2600 [4.7s]
Epoch 61 [18.1s + 30.5s]: HR = 0.7678, NDCG = 0.4851, loss =0.1705 [11.8682s] train_loss =0.2595 [4.8s]
Epoch 62 [18.1s + 29.1s]: HR = 0.7686, NDCG = 0.4856, loss =0.1710 [12.0301s] train_loss =0.2591 [4.8s]
Epoch 63 [18.1s + 30.1s]: HR = 0.7695, NDCG = 0.4861, loss =0.1695 [12.0741s] train_loss =0.2587 [5.3s]
Epoch 64 [18.1s + 35.5s]: HR = 0.7686, NDCG = 0.4861, loss =0.1706 [11.8822s] train_loss =0.2583 [4.7s]
Epoch 65 [18.1s + 29.0s]: HR = 0.7696, NDCG = 0.4868, loss =0.1697 [11.8572s] train_loss =0.2579 [4.7s]
Epoch 66 [18.1s + 29.2s]: HR = 0.7699, NDCG = 0.4870, loss =0.1703 [12.7284s] train_loss =0.2575 [4.7s]
Epoch 67 [18.1s + 29.4s]: HR = 0.7706, NDCG = 0.4874, loss =0.1704 [11.9722s] train_loss =0.2571 [4.7s]
Epoch 68 [18.1s + 29.3s]: HR = 0.7707, NDCG = 0.4873, loss =0.1716 [12.0441s] train_loss =0.2568 [4.8s]
Epoch 69 [18.1s + 29.5s]: HR = 0.7713, NDCG = 0.4880, loss =0.1707 [12.0611s] train_loss =0.2564 [4.7s]
Epoch 70 [18.1s + 29.6s]: HR = 0.7718, NDCG = 0.4883, loss =0.1707 [12.1431s] train_loss =0.2560 [4.8s]
Epoch 71 [18.1s + 31.8s]: HR = 0.7722, NDCG = 0.4886, loss =0.1698 [14.3548s] train_loss =0.2557 [6.0s]
Epoch 72 [18.1s + 31.3s]: HR = 0.7713, NDCG = 0.4887, loss =0.1693 [11.6903s] train_loss =0.2553 [4.7s]
Epoch 73 [18.1s + 29.4s]: HR = 0.7720, NDCG = 0.4889, loss =0.1693 [11.8552s] train_loss =0.2550 [4.7s]
Epoch 74 [18.1s + 28.9s]: HR = 0.7720, NDCG = 0.4895, loss =0.1681 [11.9062s] train_loss =0.2546 [4.7s]
